SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
2546,2026_WCL_361068_1,"Repair and maintenance of Dispensary Building at WCL HQ, Nagpur",WCL-HQ-CIV-WELFARE-E10-2026-27,Western Coalfields Limited | HQ | HQ_Civil,2026-06-25,2026-06-23,Closed,Coal India Tenders,National,,https://coalindiatenders.nic.in/nicgep/app
2547,2026_CCL_361012_1,"Repairing and fitment rack segment and rack pinion, both side latch arm and latch keeper, bucket heel plate and spline of LHS and RHS final drive shaft for EKG shovel Sl. No. 593 of Birsa OCP",PE(X)/BP/e-NIT/26-27/12 Dtd 11.06.26,Central Coalfields Limited | Barka Syal,2026-06-24,2026-06-23,Closed,Coal India Tenders,National,,https://coalindiatenders.nic.in/nicgep/app
2548,2026_CCL_361050_1,Repair and Renovation of Quarters for shifting purpose and regular repair under Bokaro Colliery of BnK Area.,"SO(C)/BnK/E -Tender/26-27/05/38, Dt. 12.06.2026",Central Coalfields Limited | B&K,2026-06-24,2026-06-23,Closed,Coal India Tenders,National,,https://coalindiatenders.nic.in/nicgep/app
2549,2026_IAF_762372_1,PROCUREMENT OF SPARES FOR EW SYSTEM,AIR HQ/DPROC/R2025616PCIIT5/PUR,Indian Air Force | AOM NEW DELHI - IAF | ACAS (Procurement) - IAF | D Procurement - IAF,2026-06-30,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2550,2026_IAF_762358_1,PROCUREMENT OF SPARES FOR EW SYSTEM,AHQ/R2225506PCIT2R2225506T3,Indian Air Force,2026-06-30,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2551,2026_DGDE_769209_1,Maintenance and repair works to Roads for filling of potholes by hot mix process at various locations in Secunderabad Cantonment area (below estimated of Rs.5.00 lacs at a stretch),SCB/EB/Potholes2026-27/951,Directorate General Defence Estates | Principal Directorate Defence Estates- Southern Command Pune | Cantonment Board Secunderabad- SC Pune,2026-06-25,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2552,2026_DGDE_772426_1,Tender for annual repair/maintenance of Cantt fund buildings i.e Cantt Board office/ sanitary godowns/bldg structures in Gandhi bagh/meat shops/ slaughter houses/ cattle ponds buildings etc during the year 2026-27.,164/E-5/CFB/2026-27/,Directorate General Defence Estates | Principal Directorate Defence Estates- Central Command Lucknow | Cantonment Board Meerut- CC Lucknow,2026-06-24,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2553,2026_DGDE_772431_1,Tender for annual repair/maintenance/improvement of Cantt General Hospital during the year 2026-27,164/E-5/CFH/2026-27/,Directorate General Defence Estates | Principal Directorate Defence Estates- Central Command Lucknow | Cantonment Board Meerut- CC Lucknow,2026-06-24,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2554,2026_IAF_759629_1,PROCUREMENT OF SPARES FOR ADGES MPR RADAR,AIRHQ/DPROC/24-25/W25016T2/PUR,Indian Air Force | AOM NEW DELHI - IAF | ACAS (Procurement) - IAF | D Procurement - IAF,2026-06-30,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2555,2026_IAF_760538_1,PROCUREMENT OF SPARES FOR MI-17V5 HELICOPTER,AIRHQ/DPROC/25-26/R25126/PUR,Indian Air Force | AOM NEW DELHI - IAF | ACAS (Procurement) - IAF | D Procurement - IAF,2026-06-30,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2556,2026_DGDE_769241_1,Maintenance and repairs to Open Drains and Nalas in various locations in Secunderabad Cantonment for a period of one year,SCB/EB/OpenDrains-2026-27/950,Directorate General Defence Estates | Principal Directorate Defence Estates- Southern Command Pune | Cantonment Board Secunderabad- SC Pune,2026-06-25,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2557,2026_IAF_768126_1,INDIGENOUS DEVELOPMENT OF ADAPTER CABLE,7BRD/INDG/RFP/29/2025-26,Indian Air Force | HQ MC NAGPUR - IAF | 7 BRD AF TUGLAKABAD - IAF,2026-06-25,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2558,2026_DGDE_769200_1,MAINTENANCE AND REPAIRS TO CANTONMENT FUND BUILDINGS IN SECUNDERABAD CANTONMENT FOR A PERIOD OF ONE YEAR,SCB/EB/Buildings-2026-27/952,Directorate General Defence Estates | Principal Directorate Defence Estates- Southern Command Pune | Cantonment Board Secunderabad- SC Pune,2026-06-25,2026-06-23,Closed,Defence eProcurement,National,,https://defproc.gov.in/nicgep/app
2559,2026_DCSEM_910142_1,"Renovation of Houses and Internal finishes at Western zone of Anushaktinagar, (Phase-IV, Package-I), Mumbai.",DCSEM/CQD/QSB/RENOV WEST/26-27/NIT/16 dt.25.05.2026,Directorate of Construction Services and Estate Management | QSB - DCSEM,2026-06-25,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SIkRJwqoXwIODnkhVYNFl3w%3D%3D
2560,2026_IISRM_910177_1,Renovation works in Lab CAF 101 and 201,IISERM/EE/26-27/MISC-1,Indian Institute of Science Education and Research - Mohali,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SntMZ8m6Gusz7EflKcNQxMw%3D%3D
2561,2026_MoRTH_908046_1,Construction of High Level Bridge across Kinnerasani River at Km 148.300 of Vijayawada Jagadalpur section of NH 30 in the State of Telangana on EPC Mode,SE R and B NH WGL 04 2026 27 Dt. 08.05.2026,Ministry of Road Transport and Highways | P7 Delh - MoRTH | RO Hyderabad - MoRTH | NH Division-Hyderabad - MoRTH,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SPxySy%2BMdYhF7JALk8e0iQg%3D%3D
2562,2026_BARC_908621_1,"Cleaning of open RCC canals, box culverts, arch. culverts, rubble pitched drains, terrace cleaning of hill side area at North site, BARC, Trombay, Mumbai,Year-2026-2027.",BARC/CED/ET/10/2026-2027 Dated 13/05/2026,Bhabha Atomic Research Centre | Bhabha Atomic Research Centre Mumbai | Civil Engineering Division,2026-06-25,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SEFRw4UPJMkVXo0Dd4%2B9bNg%3D%3D
2563,2026_DOP_913281_1,"Electrical works for renovation of Toilets at ground floor, Admn. Block , RAKNPA, Ghaziabad.",PED/ND/NIT-15/26-27,"Department of Posts | Delhi Circle, Dept. of Posts | Off. of EE(E),Delhi Circle,POST | Postal Electrical Division,EE(E),Delhi Circle",2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SeidCO%2FqqLDA4lpwXg01WjQ%3D%3D
2564,2026_IISRM_910189_1,"Replacement of Fabric Sheet of Acoustic Panel at the Back Side of Classrooms in LH-1, LH-3 and LH-4 of Lecture Hall Complex",IISERM/EE/26-27/MISC-2,Indian Institute of Science Education and Research - Mohali,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SGvR3D4sqVbYgYW5mAqAjRw%3D%3D
2565,2026_DDA_913263_1,"Maintenance of completed schemes under NA-II,South Zone",13/EE/ELD-6/DDA/NIT/2026-27,Delhi Development Authority | CE-Electrical-DDA | EE(El)/ED-6-Vasant Kunj-DDA,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SOpXOYow70vAJEUlIEtdhwA%3D%3D
2566,2026_DDA_913256_1,Maintenance of Qutab Golf Course DDA,02/QGC/DDA/2026-27,Delhi Development Authority | Commissioner (Sports)-DDA | AAO --Dwarka Golf Course Sector-24(DWGC-24)-DDA,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SmC%2FweMeDo8VI11WHJju2dA%3D%3D
2567,2026_DDA_913258_1,"Maintenance of Completed Schemes (M/o 1904 Mega Houses for 30 years) at D-6,Vasant Kunj.",12/EE/ELD-6/DDA/NIT/2026-27,Delhi Development Authority | CE-Electrical-DDA | EE(El)/ED-6-Vasant Kunj-DDA,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SISVHh8TNgG9RQMb%2FdWDLNg%3D%3D
2568,2026_DDA_913643_1,M/O Various Sports Complexes/Golf Courses (A/R and M/O Works at Hari Nagar Sports Complex for the Year 2025-26).,09/NIT/AE(P)/EE/SMC/DDA/26-27,Delhi Development Authority | Commissioner (Sports)-DDA | Sports Management Cell - DDA,2026-06-24,2026-06-23,Closed,CPPP,National,,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=S5v4dNGJ9GLc1D78zuidZZg%3D%3D
2569,GEM/2026/B/7576210,GEM/2026/B/7576210 - FAMOCO HANDHELD DEVICE,GEM/2026/B/7576210,Department of Space,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9369580
2570,GEM/2026/B/7671407,GEM/2026/B/7671407 - Customized AMC/CMC for Pre-owned Products - Providing UHF Radio Airtime Services for 50 Units Handh,GEM/2026/B/7671407,Ministry of Petroleum and Natural Gas,,2026-06-23,Closed,GeM,National,Handheld Radio,https://bidplus.gem.gov.in/showbidDocument/9476245
2571,GEM/2026/B/7467900,"GEM/2026/B/7467900 - Bench / Pedestal Grinder (V2),Handheld Electric Blower,Crimping Tools,Bench Vice,Tool bag",GEM/2026/B/7467900,Department of Space,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9249203
2572,GEM/2026/B/7582607,GEM/2026/B/7582607 - HANDHELD ANROID DEVICE WITH NFC,GEM/2026/B/7582607,Department of Space,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9376856
2573,GEM/2026/B/7623323,GEM/2026/B/7623323 - VHF Handheld Air Band Transceiver,GEM/2026/B/7623323,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9422340
2574,GEM/2026/B/7661565,"GEM/2026/B/7661565 - Toner Cartridge TK 7120 for Kyocera TASK Alfa Multifunction Printer,Toner Cartridge B7125 for Xerox",GEM/2026/B/7661565,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9464974
2575,GEM/2026/B/7662609,"GEM/2026/B/7662609 - PRINTER DRUM,PRINTER BLADE,PRINTER HEAD,HEAD CABLE,MAIN CARD,LASER CARD,LASER,CARRIAGE,USB CARD,PRI",GEM/2026/B/7662609,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9466156
2576,GEM/2026/B/7619195,"GEM/2026/B/7619195 - External DVD Writer,4u Rack for network switch,Switch 24 port,14 generation i5 CPU assembled for AD",GEM/2026/B/7619195,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9417761
2577,GEM/2026/B/7511876,GEM/2026/B/7511876 - Selective Laser trabeculoplasty with YAG laser,GEM/2026/B/7511876,Ministry of Health and Family Welfare,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9298158
2578,GEM/2026/B/7557593,"GEM/2026/B/7557593 - Industrial Sensor Lab,Sensor Lab,Multi PLC Workbench,Actuator Training Platform,Laser wafer Dicing ",GEM/2026/B/7557593,Ministry of Education,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9348910
2579,GEM/2026/R/684252,"GEM/2026/R/684252 - 03 si full wafer 1.4 mm,03 si full wafer with 4 different type of laser combinations,03 si full waf",GEM/2026/R/684252,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9487729
2580,GEM/2026/R/684957,"GEM/2026/R/684957 - Annual Maintenance Service  - Photocopier Machine - Photocopier Machines ( Colour , Laser , Separat",GEM/2026/R/684957,Ministry of Education,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9494814
2581,GEM/2026/B/7634122,GEM/2026/B/7634122 - ICP Laser Tachometer Kit,GEM/2026/B/7634122,Ministry of Heavy Industries and Public Enterprises,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9434443
2582,GEM/2026/B/7565005,"GEM/2026/B/7565005 - Material Code -82721106060 -11KV VCB,Material Code -82721105260 -SS 30 TO 37 VCB 1250A SPR CHA MOTO",GEM/2026/B/7565005,Ministry of Mines,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9357089
2583,GEM/2026/B/7659625,"GEM/2026/B/7659625 - Anti Cockroach Gel,Clip Jublilee 3.5,Clip Jubliee 2 inch,Emery Cloth Abrasive 11 X 9 Is Grit 36 279",GEM/2026/B/7659625,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9462783
2584,GEM/2026/B/7606133,"GEM/2026/B/7606133 - INJ NITROGLYCERINE 25 MG PER 5 ML,INJ MAGNESIUM SULPHATE 0 POINT 025 PERCENT,INJ NOR ADRENALINE 4 M",GEM/2026/B/7606133,Ministry of Home Affairs,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9403339
2585,GEM/2026/B/7561142,"GEM/2026/B/7561142 - Albumin Pci Chem 2x50ml,Alkaline Phosphate Pci Chem 2x50ml,Bilirubin Total Direct Pci Chem,Calcium ",GEM/2026/B/7561142,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9352798
2586,GEM/2026/B/7609035,"GEM/2026/B/7609035 - INJ AVIL,INJ DEXONA,INJ LABETALOL,INJ TT 0 POINT 5 ML,INJ DIAZEPAM 2ML,INJ TRAMADOL 2ML,INJ DICYCLO",GEM/2026/B/7609035,Ministry of Home Affairs,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9406627
2587,GEM/2026/B/7661688,"GEM/2026/B/7661688 - Blood Bags as per IS 15102,Blood Bags as per IS 15102,Anti - D Blood Grouping Reagent",GEM/2026/B/7661688,Health Department Andaman & Nicobar,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9465112
2588,GEM/2026/B/7598874,"GEM/2026/B/7598874 - ACTH,hGH,IGF-1,N-TACT PTH CONTROL,ACTH CONTROL,IGF-1,ACTH,cortisol diluent,LIAISON Starter kit,Clea",GEM/2026/B/7598874,Municipal Corporation of Greater Mumbai (MCGM),,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9395055
2589,GEM/2026/B/7609534,"GEM/2026/B/7609534 - Loctite SF 790 Chisel Paint Stripper, 18 Oz Spray or Equivalent,Loctite LB 8201 Multi Spray, 400 Ml",GEM/2026/B/7609534,Ministry of Petroleum and Natural Gas,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9407206
2590,GEM/2026/B/7620618,GEM/2026/B/7620618 - ORG BASED ANTI STICKING: GRAVITY PLUS,GEM/2026/B/7620618,Ministry of Power,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9419384
2591,GEM/2026/B/7379745,"GEM/2026/B/7379745 - Five Part Fully Automated Cell Counter,Fully Automated Coagulometer,Fully Automated Rotary Microtom",GEM/2026/B/7379745,Health and Family Welfare Department Chhattisgarh,,2026-06-25,01:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9148974
2592,GEM/2026/B/7621868,"GEM/2026/B/7621868 - HSS P/S COUNTER SINK DRILL INCLUDED ANGLE 90 DEG DIA 6.0mm.,HSS P/S COUNTER SINK DRILL INCLUDED ANG",GEM/2026/B/7621868,Ministry of Defence,,2026-06-25,01:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9420737
2593,GEM/2026/B/7663377,"GEM/2026/B/7663377 - DeVeloper,OPC Drum,Counter Chip,Ink Pad Maintance Box,Wireless Keyboard And Mouse Combo Pack",GEM/2026/B/7663377,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9467004
2594,GEM/2026/B/7661957,"GEM/2026/B/7661957 - Counters of Refurnishing,Rack with Counter,Field Postmaster Tale with door,30 Shelf Rack with Table",GEM/2026/B/7661957,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9465426
2595,GEM/2026/B/7624973,"GEM/2026/B/7624973 - 8 TEETH SPROCKET WITH TEFLON BUSH, DRIVE UNIT,PNEUMATIC CYLINDER 40X400 METALWORK FLAT SHAFT,14 TEE",GEM/2026/B/7624973,Ministry of Petroleum and Natural Gas,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9424181
2596,GEM/2026/R/685915,GEM/2026/R/685915 - semi automatic haematology cell counter,GEM/2026/R/685915,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9502387
2597,GEM/2026/B/7614400,"GEM/2026/B/7614400 - M35 (HSS WITH 5% COBALT) TAPER SHANK COUNTER SINKS AS PER BS: 122/PART 2-1964 BODY DIA: 25.40MM, SM",GEM/2026/B/7614400,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9412539
2598,GEM/2026/B/7614452,"GEM/2026/B/7614452 - Plaster of Paris,Painting of Wall,Electrical Work,Window Curtain,Split AC,Round Table,Chair,Bar Cou",GEM/2026/B/7614452,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9412595
2599,GEM/2026/B/7692153,GEM/2026/B/7692153 - Bar Counter,GEM/2026/B/7692153,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9499283
2600,GEM/2026/B/7592722,GEM/2026/B/7592722 - MCS-CT3 COUNTER-TIMER MODULE,GEM/2026/B/7592722,Department of Space,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9388060
2601,GEM/2026/B/7638051,GEM/2026/B/7638051 - FPV Drone,GEM/2026/B/7638051,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9438942
2602,GEM/2026/B/7660110,GEM/2026/B/7660110 - drone,GEM/2026/B/7660110,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9463322
2603,GEM/2026/B/7463372,GEM/2026/B/7463372 - Drone kits for training on FPV Drones,GEM/2026/B/7463372,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9244234
2604,GEM/2026/B/7662556,"GEM/2026/B/7662556 - Digital 5"" FPV Drone",GEM/2026/B/7662556,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9466089
2605,GEM/2026/B/7660016,"GEM/2026/B/7660016 - Sunmica Sheet 8 x 4,Fevicol Heatx,Hanger Hook 1.5,Flap Disc 4,Starting Switch Angle Cutter,16 Amp S",GEM/2026/B/7660016,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9463218
2606,GEM/2026/B/7662510,GEM/2026/B/7662510 - Chakra Drone 3.5 Inch,GEM/2026/B/7662510,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9466034
2607,GEM/2026/B/7627416,"GEM/2026/B/7627416 - GIS related Survey Services - Mili meter; Reservoir; 1:5000; DGPS, Drone Survey; SHP",GEM/2026/B/7627416,Ministry of Water Resources River Development and Ganga Rejuvenation,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9426950
2608,GEM/2026/B/7639094,"GEM/2026/B/7639094 - DRONE (SIZE: 1.6 M X 1.6 M X 0.5 M) (AS PER ANNEXURE-A) .,DRONE (SIZE: 0.5 M X 0.5 M X 0.5 M) (AS P",GEM/2026/B/7639094,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9440132
2609,GEM/2026/B/7661869,GEM/2026/B/7661869 - Drone stripping and reassembling trg kit,GEM/2026/B/7661869,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9465326
2610,GEM/2026/B/7661894,GEM/2026/B/7661894 - Drone soccer ball,GEM/2026/B/7661894,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9465356
